Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode65-umi94807bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi94984bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,QIAJ01,Unassigned,1.0
MJ030-2-barcode65-umi95730bins-ubs-4,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,Haliangium tepidum,1.0
MJ030-2-barcode65-umi96253bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,Angelobacter sp003223515,1.0
MJ030-2-barcode65-umi96415bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi96940bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi96985bins-ubs-4,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,Unassigned,1.0
MJ030-2-barcode65-umi97006bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi97107bins-ubs-5,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,Unassigned,1.0
MJ030-2-barcode65-umi97239bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi9744bins-ubs-48,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Granulicella_C_416163,Granulicella_C_416163 cerasi,1.0
MJ030-2-barcode65-umi98450bins-ubs-4,Bacteria,Bdellovibrionota_473306,UBA1018,UBA1018,UBA1018,GWA1-52-35,GWA1-52-35 sp001769805,1.0
MJ030-2-barcode65-umi98496bins-ubs-5,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi99243bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi99285bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi99332bins-ubs-4,Bacteria,Bdellovibrionota_473306,UBA1018,UBA1018,UBA1018,GWA1-52-35,GWA1-52-35 sp001769805,1.0
MJ030-2-barcode65-umi9933bins-ubs-50,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,Parafilimonas terrae,1.0
MJ030-2-barcode65-umi99513bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Gp1-AA133,Gp1-AA133 sp003225465,1.0
MJ030-2-barcode67-umi100555bins-ubs-5,Bacteria,Bacillota_A_368345,Clostridia_258483,Lachnospirales,CAG-274,CAG-274,Unassigned,1.0
MJ030-2-barcode67-umi103106bins-ubs-3,Bacteria,Bacillota_A_368345,Clostridia_258483,Lachnospirales,Lachnospiraceae,Enterocloster,Unassigned,1.0
MJ030-2-barcode67-umi67998bins-ubs-9,Bacteria,Bacillota_A_368345,Clostridia_258483,Lachnospirales,Anaerotignaceae,Unassigned,Unassigned,1.0
