"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,5,0.001,0,5,0.999999999900412,-0.00862911278074401
15,6,0.001,0,1,0.999999999393167,0.402676141637063
15,6,0.001,0,2,0.99999999989926,0.851588212096452
15,6,0.001,0,3,0.992443654637673,0.64094517523331
15,6,0.001,0,4,0.999999999792542,0.597012169548227
15,6,0.001,0,5,0.999999999885372,0.288900571664181
15,7,0.001,0,1,0.999999999130248,0.898335562827941
15,7,0.001,0,2,0.999999999902973,0.771257041018199
15,7,0.001,0,3,0.992648672962074,0.856693667407929
15,7,0.001,0,4,0.999999999687997,0.696509768980917
15,7,0.001,0,5,0.999999999871322,0.797583663885425
15,8,0.001,0,1,0.999999998945145,0.948709129395219
15,8,0.001,0,2,0.999999999890402,0.691681636774952
15,8,0.001,0,3,0.993171875046306,0.714044753780016
15,8,0.001,0,4,0.999999999640728,0.827068869306474
15,8,0.001,0,5,0.999999999884602,0.596059326029776
15,9,0.001,0,1,0.999999998933073,0.84394740227828
15,9,0.001,0,2,0.999999999904287,0.648773043357613
15,9,0.001,0,3,0.993213795820421,0.681525348394829
15,9,0.001,0,4,0.999999999700131,0.671802209666273
15,9,0.001,0,5,0.999999999889247,0.862960361846198
15,10,0.001,0,1,0.999999999048415,0.817796296990086
15,10,0.001,0,2,0.999999999888526,0.726485491798764
15,10,0.001,0,3,0.99300934212955,0.71038529404303
15,10,0.001,0,4,0.999999999638381,0.714103078203682
15,10,0.001,0,5,0.999999999879325,0.504408693100029
15,11,0.001,0,1,0.999999999012399,0.797609838531086
15,11,0.001,0,2,0.999999999904791,0.81004749875131
15,11,0.001,0,3,0.993162743551424,0.678947068102856
15,11,0.001,0,4,0.999999999718681,-0.079256047888882
15,11,0.001,0,5,0.999999999865408,0.715578526674775
15,12,0.001,0,1,0.99999999894529,0.88182625608098
15,12,0.001,0,2,0.999999999901311,0.714952308656773
15,12,0.001,0,3,0.992992050948075,0.703690486242494
15,12,0.001,0,4,0.999999999726031,0.851758612237248
15,12,0.001,0,5,0.999999999885029,0.403438041066128
15,13,0.001,0,1,0.999999999022719,0.911688787891998
15,13,0.001,0,2,0.999999999903732,0.54421888577484
